Lab ID,name,year,agro_treatment,agro_type,cc_treatment,cc_type,tillage,MBIO_C,MBIO_N,Resp_mg_CO2_g_dry_weight,BG,NAG,PHOS,FungalC_mg_g,BacterialC_mg_g,MicrobialResidualC_mg_g,c_gkg,n_gkg
1,2021 RD,2021,agroforestry,pecan,covercrop,rye,no_till,181.525,16.883,2.021,,,,,,,17.095,1.35
2,2021 RC,2021,agroforestry,pecan,covercrop,rye,min_till,176.892,20.757,2.416,,,,,,,15.851,1.22
3,2021 OD,2021,agroforestry,pecan,covercrop,oat,no_till,222.852,12.688,3.506,,,,,,,18.284,1.44
4,2021 OC,2021,agroforestry,pecan,covercrop,oat,min_till,241.598,26.892,2.208,,,,,,,16.276,1.25
5,2021 RVD,2021,agroforestry,pecan,covercrop,rye-vetch,no_till,155.909,26.107,3.159,,,,,,,23.942,1.82
6,2021 RVC,2021,agroforestry,pecan,covercrop,rye-vetch,min_till,56.869,,1.857,,,,,,,15.301,0.58
7,2021 RCD,2021,agroforestry,pecan,covercrop,rye-clover,no_till,242.743,,3.883,,,,,,,40.075,1.68
8,2021 RCC,2021,agroforestry,pecan,covercrop,rye-clover,min_till,205.058,0.082,2.698,,,,,,,40.019,1.8
9,2021 OVD,2021,agroforestry,pecan,covercrop,oat-vetch,no_till,398.987,,6.035,,,,,,,47.977,1.67
10,OVC 2021,2021,agroforestry,pecan,covercrop,oat-vetch,min_till,,96.637,2.642,,,,,,,24.276,1.71
11,2021 OCD,2021,agroforestry,pecan,covercrop,oat-clover,no_till,225.091,4.801,2.687,,,,,,,17.655,1.28
12,OCC 2021,2021,agroforestry,pecan,covercrop,oat-clover,min_till,84.071,7.192,3.799,,,,,,,18.256,1.28
13,RaD 2021,2021,agroforestry,pine,covercrop,radish,no_till,126.838,9.27,1.515,,,,,,,10.515,0.9
14,RaC 2021,2021,agroforestry,pine,covercrop,radish,min_till,89.434,11.55,3.574,,,,,,,13.984,0.98
15,RaOD 2021,2021,agroforestry,pine,covercrop,radish-oat,no_till,225.493,68.495,1.926,,,,,,,15.139,1.22
16,RaOC 2021,2021,agroforestry,pine,covercrop,radish-oat,min_till,168.434,80.539,1.276,,,,,,,13.644,1.02
17,2021 RaRD,2021,agroforestry,pine,covercrop,radish-rye,no_till,204.587,48.337,1.25,,,,,,,17.172,1.16
18,2021 RaRC,2021,agroforestry,pine,covercrop,radish-rye,min_till,231.246,41.071,1.387,,,,,,,14.294,0.86
19,2021 RaVD,2021,agroforestry,pine,covercrop,radish-vetch,no_till,375.026,150.671,2.132,,,,,,,29.822,1.44
20,2021 RaVC,2021,agroforestry,pine,covercrop,radish-vetch,min_till,2.887,18.304,3.457,,,,,,,30.543,1.11
21,2022 RD,2022,agroforestry,pecan,covercrop,rye,no_till,,6.428,4.987,,,,,,,20.925,1.09
22,2022 RC,2022,agroforestry,pecan,covercrop,rye,min_till,,10.125,2.681,,,,,,,25.186,1.2
23,2022 OD,2022,agroforestry,pecan,covercrop,oat,no_till,147.673,78.643,2.304,,,,,,,13.227,0.89
24,2022 OC,2022,agroforestry,pecan,covercrop,oat,min_till,127.988,68.327,4.224,,,,,,,14.055,0.86
25,2022 RV-D,2022,agroforestry,pecan,covercrop,rye-vetch,no_till,44.05,,4.487,,,,,,,34.907,1.09
26,2022 RVC,2022,agroforestry,pecan,covercrop,rye-vetch,min_till,17.687,,4.777,,,,,,,34.647,1.12
27,2022 RCD,2022,agroforestry,pecan,covercrop,rye-clover,no_till,,,4.941,,,,,,,49.124,1.17
28,2022 RCC,2022,agroforestry,pecan,covercrop,rye-clover,min_till,7.378,,7.495,,,,,,,57.053,1.3
29,2022 OVD,2022,agroforestry,pecan,covercrop,oat-vetch,no_till,,,3.736,,,,,,,39.503,1
30,2022 OVC,2022,agroforestry,pecan,covercrop,oat-vetch,min_till,,,4.997,,,,,,,26.546,1.43
31,2022 OCD,2022,agroforestry,pecan,covercrop,oat-clover,no_till,,,3.24,,,,,,,18.316,0.9
32,2022 OCC,2022,agroforestry,pecan,covercrop,oat-clover,min_till,4.563,,3.638,,,,,,,18.92,0.95
33,2022 RaD,2022,agroforestry,pine,covercrop,radish,no_till,,,2.552,,,,,,,12.439,0.8
34,2022 RaC,2022,agroforestry,pine,covercrop,radish,min_till,57.634,4.451,2.783,,,,,,,13.222,0.86
35,2022 RaO-D,2022,agroforestry,pine,covercrop,radish-oat,no_till,40.411,3.235,3.062,,,,,,,11.947,0.73
36,2022 RaOC,2022,agroforestry,pine,covercrop,radish-oat,min_till,11.692,1.248,2.647,,,,,,,12.355,0.78
37,2022 RaRD,2022,agroforestry,pine,covercrop,radish-rye,no_till,,,4.037,,,,,,,16.938,0.89
38,2022 RaRC,2022,agroforestry,pine,covercrop,radish-rye,min_till,18.636,0.833,2.171,,,,,,,17.313,0.95
39,2022 RaVD,2022,agroforestry,pine,covercrop,radish-vetch,no_till,65.128,,0.949,,,,,,,13.172,0.81
40,2022 RaVC,2022,agroforestry,pine,covercrop,radish-vetch,min_till,,17.42,2.843,,,,,,,15.718,0.97
41,2022 No Cover Crop,2022,agroforestry,DO_NOT_USE,no_cc,none,control,60.501,11.767,2.793,,,,,,,16.845,1.24
42,2022 No Agroforestry No Cover Crop,2022,no_agroforestry,no_agroforestry,no_cc,none,control,54.563,8.225,2.736,,,,,,,14.144,1.02
43,No cover,2023,agroforestry,DO_NOT_USE,no_cc,none,control,365.727,29.795,4.198,1223.127,854.459,3323.379,0.738,0.218,0.956,22.267,1.733
44,No cover,2023,no_agroforestry,no_agroforestry,no_cc,none,control,253.96,11.862,2.857,691.972,365.42,2301.763,0.35,0.11,0.46,17.933,1.3
45,PE1A,2023,agroforestry,pecan,covercrop,rye,no_till,290.52,32.227,2.61,1097.394,499.778,1041.39,0.314,0.102,0.416,19.633,1.367
46,PE1B,2023,agroforestry,pecan,covercrop,rye,min_till,299.21,27.748,2.824,1124.92,574.442,1526.66,0.381,0.118,0.498,20.6,1.567
47,PE2A,2023,agroforestry,pecan,covercrop,oat,no_till,273.378,10.346,5.62,727.633,299.143,662.154,0.399,0.127,0.526,21.5,1.467
48,PE2B,2023,agroforestry,pecan,covercrop,oat,min_till,373.552,24.006,4.271,1045.978,381.371,756.535,0.351,0.146,0.498,22.7,1.367
49,PE3A,2023,agroforestry,pecan,covercrop,rye-vetch,no_till,294.385,10.018,6.077,641.773,216.183,442.195,0.388,0.152,0.54,23.667,1.6
50,PE3B,2023,agroforestry,pecan,covercrop,rye-vetch,min_till,169.437,11.219,5.555,1194.096,478.323,718.247,0.481,0.192,0.674,22.1,1.467
51,PE4A,2023,agroforestry,pecan,covercrop,rye-clover,no_till,110.012,,3.934,764.328,390.042,752.928,0.489,0.153,0.641,28,1.8
52,PE4B,2023,agroforestry,pecan,covercrop,rye-clover,min_till,306.907,30.09,3.656,1362.271,719.89,1256.286,0.412,0.135,0.547,22.1,1.433
53,PE5A,2023,agroforestry,pecan,covercrop,oat-vetch,no_till,253.87,43.457,5.963,1108.274,545.487,913.847,0.481,0.165,0.646,32,1.733
54,PE5B,2023,agroforestry,pecan,covercrop,oat-vetch,min_till,174.994,24.475,4.233,848.188,348.187,586.741,0.406,0.139,0.544,31.6,2
55,PE6A,2023,agroforestry,pecan,covercrop,oat-clover,no_till,149.501,17.561,5.723,836.33,375.352,1175.897,0.556,0.184,0.74,35.9,1.833
56,PE6B,2023,agroforestry,pecan,covercrop,oat-clover,min_till,304.471,41.5,4.585,1112.866,539.868,1157.456,0.587,0.218,0.805,28.367,1.633
57,PI1A,2023,agroforestry,pine,covercrop,radish,no_till,107.814,7.738,3.219,407.276,336.777,1378.579,0.356,0.093,0.449,13.133,0.867
58,PI1B,2023,agroforestry,pine,covercrop,radish,min_till,20.281,2.039,3.248,253.426,447.844,719.418,0.381,0.087,0.468,14.3,1.133
59,PI2A,2023,agroforestry,pine,covercrop,radish-oat,no_till,180.821,26.69,2.795,804.915,692.099,2046.635,0.5,0.13,0.63,17.8,1.3
60,PI2B,2023,agroforestry,pine,covercrop,radish-oat,min_till,106.994,5.451,2.262,307.369,240.984,1581.084,0.335,0.087,0.422,12.267,0.833
61,PI3A,2023,agroforestry,pine,covercrop,radish-rye,no_till,172.221,21.289,3.616,615.755,477.868,2090.932,0.405,0.122,0.528,16.5,1.7
62,PI3B,2023,agroforestry,pine,covercrop,radish-rye,min_till,62.213,1.309,5.115,492.566,446.803,1452.746,0.583,0.165,0.748,21.3,1.567
63,PI4A,2023,agroforestry,pine,covercrop,radish-vetch,no_till,193.031,6.953,3.501,549.267,468.457,1430.564,0.516,0.194,0.71,20.4,1.433
64,PI4B,2023,agroforestry,pine,covercrop,radish-vetch,min_till,98.671,2.277,3.644,437.035,281.572,1784.422,0.406,0.115,0.521,16.7,1.2
